# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
263,"choose (chose, chosen)",v,动词,选择
264,Christmas,n,名词,圣诞节
265,church,n,名词,教堂
266,cigarette,n,名词,香烟
267,cinema,n,名词,电影院；电影
268,circle,n,名词,圆，圈
269,citizen,n,名词,市民
270,city,n,名词,城市
271,clap,v,动词,n. 拍手
272,class,n,名词,班级；(一节)课；等级
273,classmate,n,名词,同学
274,classroom,n,名词,教室
275,clean,adj,形容词,干净的；清洁的
276,clear,adj,形容词,清晰的；明亮的；清楚的
277,clearly,adv,副词,清晰地；明亮地；清楚地
278,clerk,n,名词,职员；办事员
279,clever,adj,形容词,聪明的
280,climate,n,名词,气候
281,climb,v,动词,爬
282,clinic,n,名词,医务室
283,clock,n,名词,时钟
284,close,v,动词,关；闭
285,clothes,n,名词,衣服
286,cloud,n,名词,云
287,cloudy,adj,形容词,多云的；阴天的
288,coast,n,名词,海岸
289,coat,n,名词,外衣；上衣
290,coffee,n,名词,咖啡
291,coin,n,名词,硬币
292,cold,adj,形容词,冷的；寒冷的
293,collect,v,动词,收集；采集
294,collection,n,名词,收集
295,college,n,名词,学院
296,"come (came, come)",v,动词,来；来到
297,comfortable,adj,形容词,舒服的
298,common,adj,形容词,普通的
299,communicate,v,动词,交流，交际
300,company,n,名词,公司
301,compare,v,动词,比较
302,competition,n,名词,竞赛
303,complain,v,动词,抱怨；投诉
304,complete,adj,形容词,完整的，完全的
305,computer,n,名词,计算机
306,concert,n,名词,音乐会
307,conclusion,n,名词,结论；结束，结局
308,conductor,n,名词,(汽车、电车上的)售票员； (火车上的)列车员
309,conference,n,名词,会议；讨论会
310,confident,adj,形容词,确信的；有信心的，自信的
311,confused,adj,形容词,搞糊涂的
312,congratulation,n,名词,祝贺
313,connect,v,动词,连接；把……联系起来
314,consist,v,动词,组成；构成
315,contest,n,名词,竞赛
316,continent,n,名词,洲；大陆
317,continue,v,动词,继续
318,control,v,动词,n. 控制
319,convenient,adj,形容词,便利的；方便的
320,conversation,n,名词,会话；谈话
321,cook,n,名词,厨师；炊事员
322,cool,adj,形容词,凉的；凉爽的；酷
323,copy,n,名词,"抄本；副本；一本(份,册)"
324,corner,n,名词,角；拐角
325,correct,adj,形容词,正确的
326,cotton,n,名词,棉花
327,cough,v,动词,n. 咳嗽
328,count,v,动词,数
329,country,n,名词,国家；农村；乡下
330,couple,n,名词,(一)对，(一)双，(一)副
331,course,n,名词,过程；课程
332,cousin,n,名词,"堂(表)兄，弟；堂(表)姐,妹"
333,cover,v,动词,覆盖；遮盖；掩盖
334,cow,n,名词,母牛
335,crazy,adj,形容词,发狂的，疯狂的
336,create,v,动词,创造；创作
337,cross,n,名词,"十字, 叉"
338,crowded,adj,形容词,拥挤的；满座的
339,cry,v,动词,n . 喊叫；哭
340,culture,n,名词,文化
341,cup,n,名词,杯子；杯
342,custom,n,名词,习惯，风俗
343,customer,n,名词,顾客
344,"cut (cut, cut)",v,动词,切；割；剪；砍；削
345,cycle,v,动词,骑车
346,daily,n,名词,日报
347,damage,v,动词,破坏
348,dance,v,动词,n. 跳舞
349,danger,n,名词,危险
350,dangerous,adj,形容词,危险的
351,dark,n,名词,黑暗；黑色；深色
352,date,n,名词,日期
353,daughter,n,名词,女儿
354,day,n,名词,（一）天；（一）日；白天
355,dead,adj,形容词,死的；无生命的
356,"deal (dealt, dealt)",v,动词,分配，分给；给予；
357,dear,adj,形容词,亲爱的
358,death,n,名词,死亡
359,debate,n,名词,争论，辩论；讨论
360,December,n,名词,十二月
361,decide,v,动词,决定；下决心
362,decision,n,名词,决定
363,decorate,v,动词,装饰
364,deep,adj,形容词,深
365,degree,n,名词,学位；度
366,delay,n,名词,v. 耽搁；延误
367,delicious,adj,形容词,"美味的, 可口的"
368,deliver,v,动词,投递，传送
369,dentist,n,名词,牙科医生
370,department store,n,名词,百货商店
371,departure,n,名词,启程；离开；出发
372,depend,v,动词,"依靠, 依赖"
373,describe,v,动词,描述
374,desert,n,名词,沙漠
375,deserve,v,动词,值得
376,design,v,动词,设计
377,desk,n,名词,书桌；写字台
378,destroy,v,动词,破坏
379,detective,adj,形容词,侦探的
