# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
1469,tour,n,名词,旅行；观光
1470,tourist,n,名词,游客；旅行者
1471,toward (s),prep,介词,朝，向
1472,tower,n,名词,塔
1473,town,n,名词,城镇；镇
1474,toy,n,名词,玩具
1475,traditional,adj,形容词,传统的
1476,traffic,n,名词,交通
1477,train,n,名词,火车
1478,translate,v,动词,翻译
1479,transport,v,动词,"运输, 运送"
1480,travel,v,动词,n. （长途）旅行
1481,tree,n,名词,树
1482,trick,n,名词,恶作剧；诡计，花招
1483,trip,n,名词,旅行；旅程
1484,trouble,n,名词,烦恼；困难；麻烦；问题
1485,trousers,n,名词,裤子
1486,true,adj,形容词,真的；真实的
1487,truth,n,名词,真理；真相
1488,try,v,动词,试；试图；努力
1489,Tuesday,n,名词,星期二
1490,tunnel,n,名词,地道，隧道
1491,turkey,n,名词,火鸡
1492,turn,v,动词,旋转；转动；翻转；转变；转向；变得
1493,twice,adv,副词,两次；两倍
1494,twin,n,名词,双胞胎
1495,type,n,名词,型，类型
1496,ugly,adj,形容词,粗陋的，难看的
1497,umbrella,n,名词,雨伞，阳伞
1498,uncle,n,名词,叔；伯；舅；姑父；姨父
1499,under,prep,介词,在……下面
1500,underground,adj,形容词,地下的
1501,unhealthy,adj,形容词,不健康的
1502,uniform,n,名词,制服
1503,unit,n,名词,单元，部件，装置
1504,united,adj,形容词,联合的，统一的
1505,university,n,名词,（综合性）大学
1506,unless,conj,连词,如果不，除非
1507,until,prep,介词,conj. 直到……为止
1508,unusual,adj,形容词,不寻常的，异常的
1509,up,adv,副词,向上；往上方；在上面；
1510,upset,adj,形容词,难过的，不高兴的
1511,upstairs,adv,副词,在楼上；往楼上
1512,use,v,动词,使用；运用；应用
1513,useful,adj,形容词,有用的，有益的
1514,usual,adj,形容词,通常的
1515,usually,adv,副词,通常；经常
1516,van,n,名词,有篷载重汽车，运货车
1517,various,adj,形容词,各种各样的
1518,vegetable,n,名词,蔬菜
1519,very,adv,副词,很；非常
1520,victory,n,名词,胜利
1521,video,n,名词,电视；录像；录像机
1522,view,n,名词,视域，看得见的地方
1523,village,n,名词,村庄；乡村
1524,violin,n,名词,小提琴
1525,visit,v,动词,n. 参观；访问；拜访
1526,visitor,n,名词,参观者；访问者
1527,voice,n,名词,嗓音
1528,volleyball,n,名词,排球
1529,wait,v,动词,等；等候
1530,waiter,n,名词,侍者；服务员
1531,waitress,n,名词,女侍者；女服务员
1532,"wake (woke, woken/waked, waked)",v,动词,醒；醒来
1533,walk,v,动词,n. 走；步行；散步
1534,wall,n,名词,墙
1535,want,v,动词,要；想要；需要；必要
1536,war,n,名词,战争
1537,warm,adj,形容词,暖和的；温暖的
1538,warn,v,动词,警告
1539,wash,v,动词,洗；洗衣
1540,waste,v,动词,浪费
1541,watch,v,动词,观看；注视
1542,water,n,名词,水
1543,wave,v,动词,挥（手）致意；招手
1544,way,n,名词,道路；路途；方法；手段
1545,weak,adj,形容词,弱；差的
1546,"wear (wore, worn)",v,动词,穿；戴
1547,weather,n,名词,天气
1548,Wednesday,n,名词,星期三
1549,week,n,名词,星期，周
1550,weekday,n,名词,工作日
1551,weekend,n,名词,周末
1552,weigh,v,动词,称……的重量；重
1553,weight,n,名词,重量
1554,welcome,n,名词,欢迎
1555,"well (better, best)",adj,形容词,健康的
1556,west,n,名词,西；西方
1557,western,adj,形容词,西方的
1558,wet,adj,形容词,湿的；潮的；多雨的
1559,what,pron,代词,（表示疑问）什么（人，事，物等）；（表示建议）怎么样
1560,when,adv,副词,什么时候
1561,where,adv,副词,在（往）哪里
1562,whether,conj,连词,是否
1563,which,adj,形容词,adv. 哪一个；哪些
1564,while,conj,连词,在（当）……时候；和……同时
1565,white,n,名词,白色
1566,who,pron,代词,谁
1567,whole,adj,形容词,整个的；完整的
1568,whom,pron,代词,谁（宾格）
1569,whose,pron,代词,谁的
1570,why,adv,副词,为什么
1571,wide,adj,形容词,宽阔的；广泛的
1572,widely,adv,副词,宽阔地；广泛地
1573,widen,v,动词,拓宽
1574,wife,n,名词,妻子
1575,wild,adj,形容词,野生的；荒芜的
1576,will,v.aux,v.aux,1.（表示将来）将；会
1577,"win (won, won)",v,动词,获胜；赢得
1578,wind,n,名词,风
1579,window,n,名词,窗
1580,windy,adj,形容词,有风的；刮风的
1581,wine,n,名词,葡萄酒；酒
1582,wing,n,名词,翅膀，翼
1583,winner,n,名词,获胜者
1584,winter,n,名词,冬天冬季
1585,wisdom,n,名词,智慧，才智
1586,wise,adj,形容词,明智的，聪明的
1587,wish,n,名词,v. 愿望；祝愿
1588,with,prep,介词,1. (表示伴随)与……一起；
1589,within,prep,介词,在……范围之内
1590,without,prep,介词,没有
1591,wolf,n,名词,狼
1592,woman (pl. women),n,名词,妇女，女人
1593,wonder,v,动词,对……感到奇怪；想知道
1594,wonderful,adj,形容词,极好的；精彩的
1595,wood,n,名词,木头
1596,wooden,adj,形容词,木（质）的
1597,word,n,名词,词；单词；话
1598,work,v,动词,工作；干活；运转；转动
1599,worker,n,名词,工作者；工人
1600,world,n,名词,世间
1601,worry,v,动词,烦恼；担心；发怒
1602,would,v. aux,v. aux,愿意
1603,wound,n,名词,创伤，伤
1604,wounded,adj,形容词,受伤的
1605,"write (wrote, written)",v,动词,书写；写信；写作；著述
1606,writer,n,名词,作家
1607,wrong,adj,形容词,错误的；不对的
1608,year,n,名词,年
1609,yellow,n,名词,黄色
1610,yes,adv,副词,是，好；同意

# 表（二）词组（Idioms and Expressions）
序号,词组,释义
1,a bit (of ),有一点儿
2,a couple of,两个；几个
3,a kind of,一种；一类
4,a lot of (lots of),许多
5,a pair of,一双；一副
6,a piece of,一（块，张，片，件）
7,according to,按照；根据
8,add … to …,加上
9,after all,究竟；毕竟
10,agree with sb.,同意某人的意见
11,all day (long),整天
12,all right,行了；好吧；（病）好了
13,all the way,一路上
14,and so on,等等
15,apologize to sb. for sth.,为某事向某人道歉
16,arrive at / in a place,到达某地
17,as … as,像……一样；如同
18,as soon as,一……就
19,as well,也；又
20,ask for,请求；寻求
21,at breakfast / lunch /supper,早 / 午 / 晚餐时
22,at first / last,起先；开始的时候 / 最后；终于
23,at home,在家（里）
24,at least / most,至少 / 至多
25,at once,立刻；马上
26,at present,现在，目前
27,at school,在学校；在上课
28,at the end of (August),在(八月)底
29,at the same time,同时
30,at work,在工作
31,at / on weekends,在周末
32,be able to,能够（有能力）
33,be afraid of,害怕
34,be angry with sb.,生某人的气(侧重于对某个人感到生气)
35,be bad for,有害于
36,be born,出生于
37,be busy with / doing sth.,忙于做某事
38,be careful with,小心
39,be / get familiar to / with,对……熟悉；通晓
40,be fond of,爱好
41,be full of,充满
42,be good / poor at,擅长于/ 在某方面……比较差
43,be interested in,对……感兴趣
44,be keen on,喜爱
45,be made of,由……制成(能看出原料)
46,be made from,由……制成（看不出原料）
47,be made up of,由……组成
48,be pleased with,对……满意
49,be proud of,为……而感到自豪
50,be ready for,对……作准备
51,be responsible for,对……负责任
52,be similar to,与…类似
53,be strict with,对……严格
54,be surprised at,为……感到惊奇
55,be thankful to sb.,对某人很感激
56,be used to doing,习惯于
57,be used to do,被用来
58,because of,由于
59,belong to,属于
60,big deal,大人物
61,both … and …,两者都
62,break into,闯入；破门而入
63,by bus,乘公共汽车
64,by oneself,亲自
65,by phone,打电话
66,by the way,顺便说；顺便问一下
67,care for,照顾；喜欢
68,catch (a) cold,着凉；伤风
69,catch fire,着火
70,change one’s mind,改变主意
71,check in,办理登机
72,come from,出生于；来自
73,come on,快；走吧；跟我来
74,come to an end,结束
75,come true,实现
76,communicate with,与……交流
77,complain about,投诉；抱怨
78,consist of,由……组成
79,cut down,砍倒
80,deal with,处理
81,depend on,依靠，依赖
82,die of,因……病而死
83,do one’s best,尽最大努力
84,do sb. a favour,帮某人忙
85,do some shopping,买东西
86,dream of,想到
87,dress up,穿着打扮
88,each other,互相
89,encourage sb. to do sth.,鼓励 / 激励某人做某事
90,enjoy oneself,过得愉快
91,fall asleep,入睡
92,fill in,填充；填写
93,find out,找出；查明；了解
94,for example,例如
95,for free,免费
96,for the first time,第一次
97,for the time being,暂时，眼下
98,from door to door,挨家挨户
99,get along / on (with),进展； 与……相处
100,get back,返回
101,get into the habit of,养成……的习惯
102,get off,下车
103,get on,上车
104,get ready for,为……作准备
105,get rid of,摆脱
106,get tired of,对……感到厌倦
107,go to bed,就寝
108,go to the cinema / movie(s),去看电影
109,go wrong,出错
110,grow up,成年；长大
111,had better,最好还是；还是……好
112,hand in,上交
113,happen to do,碰巧做
114,happen to sb.,发生到某人身上
115,have (got) to,不得不
116,have a class / lesson,上课
117,have a good time,玩得/过得很愉快
118,have breakfast,吃早餐
119,have no idea,不清楚
120,have pity on sb.,怜悯某人
121,have sports,进行体育活动
122,hear from,收到……来信
123,hear of,听说
124,help sb. with sth.,帮助某人做某事
125,here and there,到处
126,hold a meeting,举行会议
127,hold on,等一等（别挂电话）
128,hold one’s breath,屏住呼吸
129,huge amounts of,大量的
130,in a hurry,匆忙
131,in a minute,一会儿
132,in addition,另外
133,in charge of,主管，负责
134,in class,在课上
135,in danger,处于危险中
136,in English,用英语
137,in fact,事实上；实际上
138,in favour of,"赞同,赞成"
139,in front of,在……前面
140,in hospital,住院
141,in one’s fifties,在某人五十多岁时
142,in one’s opinion,根据某人的看法
143,in order to,为了
144,in other words,换句话说; 也就是说
145,in return,作为回报
146,in surprise,惊奇地
147,get to,到达
148,get up,起床
149,go ahead,先走；向前走；去吧；干吧
150,go shopping,去购物
151,go for a swim,去游泳
152,go home,回家
153,go on,继续
154,go on a diet,实行节食
155,go on a picnic,去野餐
156,go on with / doing sth.,继续做某事
157,go out,熄灭
158,go over,复习；仔细地再读一遍
159,go sightseeing,去观光
160,go to (the) hospital,去医院（看病）
161,in the end,最后；终于
162,in the future,在将来
163,in the middle of,在……中间
164,in the past,在过去；从前
165,in this way,这样
166,in time,及时
167,in trouble,处于困境中
168,instead of,代替；而不是
169,keep a diary,记日记
170,keep doing sth.,继续做某事
171,keep fit,保持健康
172,keep…from,阻止；使……免于
173,keep off,阻挡；不让……接近
174,keep quiet,保持安静
175,keep sb. busy,让某人忙个不停
176,laugh at,嘲笑
177,learn…from,向……学习
178,leave a message,留个口信
179,leave for,动身去
180,less / more than,少 / 多于
181,listen to,听……（讲话）
182,live on,靠……为生
183,make money,挣钱；赚钱
184,make the bed,整理床铺
185,next to,紧挨着；紧靠着
186,no longer / not… any longer,不再
187,now and then / again,时而；偶而
188,of course,当然
189,on average,按平均值; 通常
190,on business,有事，出差
191,on foot,步行；走路
192,on holiday,在休假
193,on one’s side,在某人一边
194,on the phone,在听电话
195,on the right,在右边
196,on the / one’s way (to),在去……的路上
197,on time,准时
198,on weekdays,在工作日
199,once a day,每天一次
200,once every four years,每四年一次
201,one after another,一个接一个，连续地
202,one another,互相
203,out of,从……里出来；缺乏
204,out of date,过时
205,pay for,付……钱；买
206,pick out,挑选出
207,play a trick on,捉弄
208,play with,玩耍，摆弄
209,plenty of,大量的，充足的
210,point out,指出
211,prepare for,准备
212,prevent …from,妨碍 / 阻止某人做某事
213,protect… from,保护……免受
214,put off,延期
215,put on,穿；戴上；上演
216,put out,扑灭
217,put up,举起；挂起
218,rely on,依靠
219,run away,逃跑
220,look forward to,期待着
221,look like,看上去像；显得
222,look out,注意；留神
223,lose one's life,丧生
224,lose one’s temper,发脾气
225,make a decision,作出决定
226,make a fire,生火
227,make a mistake,出差错；犯错误
228,make a noise,弄出声
229,make fun of,拿……开玩笑
230,run out of,"用完, 耗尽"
231,save one’s life,挽救某人的生命
232,search for,搜寻；搜查
233,see… off,为……送行
234,sell out,售完
235,shake hands with,与……握手
236,share… with,与……分享
237,show off,炫耀
238,show sb. around,带某人参观
239,shut up,住口
240,so far,迄今为止
241,some day,将来有一天
242,stay up,熬夜
243,stop… from,阻止……做
244,such as,例如
245,take a look,看一看
246,take a message for sb.,给某人捎个口信
247,take an underground,乘地铁
248,take away,拿走
249,take care of,照料
250,take charge of,负责，管理
251,take hold of,抓住
252,take notes,记笔记
253,take off,脱掉（衣服等）；起飞
254,take one’s advice,听从某人劝告
255,take out,取出
256,take part in,参加
257,take place,发生；举行
258,turn off,关掉（电灯，电视，收音机等）
259,turn on,开，旋开（电灯，电视，收音机等）
260,turn out,结果是；证明是
261,turn over,翻（车）；翻（页）；翻身
262,used to,过去常常
263,wait for,等候；等待
264,wake up,醒来；叫醒
265,with great care,非常小心
266,with pleasure,愉快地
267,with the help of,在……的帮助下
268,work as,从事……工作
269,work out,做出；算出；制定出
270,would like / love (to),想要（表示喜欢，愿
271,would rather,宁愿，宁可
272,take up,开始从事
273,tell a lie,说谎
274,tell… from,区别；分辨
275,tell the time,报时
276,the same …as,与……同样
277,the week after next,下下周
278,think bout,考虑（做某事的可行性）
279,think of,想起；想到
280,think over,仔细考虑
281,throw away,扔掉
282,to one’s surprise,使某人惊奇的是
283,too… to,太……以至不能
284,try on,试穿
285,turn up / turn down,出现; (把音量等)调高 / 调低
